,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_13 cp_7,inv_14 cp_7,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8,inv_13 cp_8,inv_14 cp_8,inv_15 cp_8,inv_16 cp_8,inv_10 cp_9,inv_11 cp_9,inv_12 cp_9,inv_13 cp_9,inv_14 cp_9,inv_15 cp_9,inv_16 cp_9,inv_17 cp_9,inv_18 cp_9,inv_11 cp_10,inv_12 cp_10,inv_13 cp_10,inv_14 cp_10,inv_15 cp_10,inv_16 cp_10,inv_17 cp_10,inv_18 cp_10,inv_19 cp_10,inv_20 cp_10
0,29.0,32.0,35.0,35.0,38.0,38.0,37.0,37.0,40.0,47.0,47.0,47.0,46.0,49.0,50.0,53.0,51.0,56.0,57.0,54.0,60.0,50.0,61.0,57.0,63.0,63.0,60.0,65.0,62.0,63,61.0,63.0,59.0,63,64,65,64,63,64.0,63,64.0,65,65,65,65,63,65,63,63
1,,,,,,,,,,,,,,,,,,,,,53.0,,62.0,,60.0,54.0,64.0,65.0,63.0,62,64.0,64.0,65.0,64,65,64,64,64,64.0,64,58.0,62,65,63,65,64,63,64,64
2,,,,,,,,,,,,,,,,,,,,,,,55.0,,54.0,,61.0,61.0,65.0,63,62.0,64.0,65.0,65,63,64,64,63,64.0,65,,64,65,65,65,65,63,65,64
3,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,65.0,64.0,64,63.0,63.0,65.0,64,60,64,65,65,65.0,65,,65,64,64,65,63,65,65,65
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,61.0,64,63.0,65.0,64.0,64,65,65,63,65,64.0,65,,65,64,65,65,65,62,64,63
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,65.0,65,61.0,65.0,65.0,65,63,65,64,63,62.0,64,,62,65,64,65,64,63,64,65
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,64.0,63,62.0,63.0,64.0,65,63,62,65,63,62.0,60,,65,64,64,64,65,65,64,65
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,64.0,65,59.0,64.0,65.0,61,63,63,65,65,62.0,64,,65,65,65,63,65,65,65,65
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,56.0,63,65.0,62.0,64.0,62,62,65,65,64,65.0,64,,63,65,65,65,65,63,63,63
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,64,61.0,63.0,63.0,63,64,63,65,62,63.0,65,,64,65,65,64,64,64,65,65
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,64,65.0,65.0,64.0,59,65,64,64,62,63.0,63,,65,65,64,64,63,65,63,65
