,inv_2 cp_1,inv_3 cp_2,inv_4 cp_2,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5
0,13.0,25.0,34.0,48.0,49.0,50.0,60.0,62.0,64,62,65,65,65,65,65
1,,,,,,,60.0,61.0,63,64,64,65,63,65,65
2,,,,,,,57.0,61.0,60,65,64,65,65,64,65
3,,,,,,,,62.0,63,64,65,65,65,65,65
4,,,,,,,,61.0,64,64,64,65,62,65,65
5,,,,,,,,58.0,63,62,63,64,65,65,65
6,,,,,,,,,63,62,65,65,65,65,65
7,,,,,,,,,64,65,63,65,65,65,65
8,,,,,,,,,64,63,63,65,65,65,65
9,,,,,,,,,61,65,65,65,65,65,65
10,,,,,,,,,60,64,65,65,65,65,65
11,,,,,,,,,63,63,62,65,65,65,65
12,,,,,,,,,64,65,65,64,65,65,65
13,,,,,,,,,63,64,65,65,65,65,65
14,,,,,,,,,62,65,64,65,65,65,65
15,,,,,,,,,62,65,64,63,65,65,65
16,,,,,,,,,63,64,62,64,65,65,65
17,,,,,,,,,65,65,62,65,65,65,65
18,,,,,,,,,62,65,64,65,65,65,65
19,,,,,,,,,63,64,65,65,65,65,65
20,,,,,,,,,61,65,65,65,64,65,65
21,,,,,,,,,61,63,63,65,65,65,65
22,,,,,,,,,62,65,65,65,65,65,65
23,,,,,,,,,64,63,64,65,65,65,65
24,,,,,,,,,65,62,65,65,65,65,65
25,,,,,,,,,61,64,65,65,65,65,65
26,,,,,,,,,61,65,65,65,65,65,65
27,,,,,,,,,64,64,65,65,65,65,65
28,,,,,,,,,63,64,64,64,65,65,65
29,,,,,,,,,63,63,63,65,65,65,65
