,cp_17,cp_18,cp_19,cp_20,cp_21,cp_22,cp_23,cp_24,cp_25,cp_26,cp_27
0,64,62,64,59,63,64,63,64,62,65,64
1,64,64,64,63,64,65,64,65,64,64,65
2,65,63,64,65,65,64,63,63,65,65,65
3,59,64,64,64,64,65,65,64,64,62,63
4,61,62,64,65,65,64,65,63,64,65,62
5,62,65,65,64,63,65,63,64,65,64,65
6,64,60,64,63,64,65,65,63,63,64,63
7,64,62,64,62,65,65,64,65,64,65,65
8,61,62,63,65,65,64,65,63,65,64,63
9,62,65,65,64,65,65,64,65,65,63,63
10,62,64,63,65,63,64,65,63,64,65,65
11,61,65,63,62,64,65,65,63,65,63,65
12,61,63,63,65,61,65,65,63,65,64,64
13,64,63,65,64,64,65,64,63,63,65,65
14,65,61,64,64,63,63,65,64,65,65,64
15,61,62,64,64,65,65,64,64,63,64,64
16,60,65,63,64,65,62,62,65,64,65,65
17,60,63,65,65,63,65,65,65,64,64,64
18,62,63,61,65,63,64,64,64,65,65,64
19,61,64,63,63,64,62,64,63,63,65,63
20,63,64,65,63,65,65,63,65,65,64,64
21,61,65,65,65,64,65,64,65,64,64,62
22,62,65,61,62,63,64,65,65,65,63,65
23,61,65,63,65,64,65,65,65,65,64,63
24,61,63,62,65,63,63,65,64,62,65,65
25,61,64,63,65,63,65,65,62,63,63,65
26,58,64,63,64,64,65,63,63,65,65,64
27,64,63,64,64,64,64,63,62,65,65,62
28,61,55,65,64,64,64,64,65,65,65,65
29,61,61,64,65,63,64,65,65,64,62,65
