,cp_35,cp_36,cp_37,cp_38,cp_39,cp_40,cp_41,cp_42,cp_43,cp_44,cp_45
0,65,62,65,62,64,65,64,64,63,64,65
1,65,62,65,63,65,65,65,64,63,63,64
2,63,64,63,65,65,64,64,64,64,63,65
3,63,64,65,64,63,65,64,62,63,65,65
4,65,64,64,65,64,65,63,64,65,63,65
5,63,65,64,64,64,65,65,65,62,63,64
6,63,65,63,64,64,65,64,64,64,63,64
7,62,65,62,65,65,65,65,65,65,64,65
8,65,65,64,65,64,64,65,65,64,64,65
9,65,64,65,64,65,64,64,65,63,65,64
10,65,65,65,63,65,64,64,64,65,62,65
11,65,65,65,64,65,63,64,64,65,63,65
12,65,64,64,65,65,64,64,65,64,65,65
13,63,65,63,65,65,65,65,64,64,64,65
14,65,65,64,65,64,65,65,65,65,65,65
15,65,64,64,64,64,65,63,65,64,65,65
16,64,65,65,65,64,64,65,64,65,64,64
17,64,64,65,64,64,65,63,63,64,63,65
18,65,63,65,63,63,65,65,65,65,65,64
19,63,64,64,65,64,65,65,64,65,64,64
20,64,63,64,62,65,64,64,64,64,64,65
21,65,64,61,64,64,65,65,64,64,63,64
22,64,64,65,65,64,63,65,64,63,65,65
23,64,61,64,64,64,65,64,65,65,63,65
24,64,64,64,62,65,64,65,65,61,65,62
25,65,64,64,64,65,64,63,65,63,65,64
26,65,64,64,63,64,64,62,64,63,65,62
27,65,65,64,63,64,65,63,64,64,62,64
28,65,64,63,61,65,60,63,62,64,65,64
29,65,65,64,64,65,64,65,64,63,63,65
