,inv_10 cp_9,inv_11 cp_9,inv_12 cp_9,inv_13 cp_9,inv_14 cp_9,inv_15 cp_9,inv_16 cp_9,inv_17 cp_9,inv_18 cp_9,inv_19 cp_9,inv_20 cp_9,inv_21 cp_9,inv_22 cp_9,inv_23 cp_9,inv_24 cp_9,inv_25 cp_9,inv_26 cp_9,inv_27 cp_9,inv_28 cp_9,inv_29 cp_9,inv_30 cp_9,inv_31 cp_9,inv_32 cp_9,inv_33 cp_9,inv_34 cp_9,inv_35 cp_9,inv_36 cp_9,inv_37 cp_9,inv_38 cp_9,inv_39 cp_9,inv_40 cp_9,inv_41 cp_9,inv_42 cp_9,inv_43 cp_9,inv_44 cp_9,inv_45 cp_9,inv_11 cp_10,inv_12 cp_10,inv_13 cp_10,inv_14 cp_10,inv_15 cp_10,inv_16 cp_10,inv_17 cp_10,inv_18 cp_10,inv_19 cp_10,inv_20 cp_10,inv_21 cp_10,inv_22 cp_10,inv_23 cp_10,inv_24 cp_10,inv_25 cp_10,inv_26 cp_10,inv_27 cp_10,inv_28 cp_10,inv_29 cp_10,inv_30 cp_10,inv_31 cp_10,inv_32 cp_10,inv_33 cp_10,inv_34 cp_10,inv_35 cp_10,inv_36 cp_10,inv_37 cp_10,inv_38 cp_10,inv_39 cp_10,inv_40 cp_10,inv_41 cp_10,inv_42 cp_10,inv_43 cp_10,inv_44 cp_10,inv_45 cp_10,inv_46 cp_10,inv_47 cp_10,inv_48 cp_10,inv_49 cp_10,inv_50 cp_10,inv_12 cp_11,inv_13 cp_11,inv_14 cp_11,inv_15 cp_11,inv_16 cp_11,inv_17 cp_11,inv_18 cp_11,inv_19 cp_11,inv_20 cp_11,inv_21 cp_11,inv_22 cp_11,inv_23 cp_11,inv_24 cp_11,inv_25 cp_11,inv_26 cp_11,inv_27 cp_11,inv_28 cp_11,inv_29 cp_11,inv_30 cp_11,inv_31 cp_11,inv_32 cp_11,inv_33 cp_11,inv_34 cp_11,inv_35 cp_11,inv_36 cp_11,inv_37 cp_11,inv_38 cp_11,inv_39 cp_11,inv_40 cp_11,inv_41 cp_11,inv_42 cp_11,inv_43 cp_11,inv_44 cp_11,inv_45 cp_11,inv_46 cp_11,inv_47 cp_11,inv_48 cp_11,inv_49 cp_11,inv_50 cp_11,inv_51 cp_11,inv_52 cp_11,inv_53 cp_11,inv_54 cp_11,inv_55 cp_11
0,62.0,65,64,61.0,64,65.0,64,64,65,64,65,65,65,65,63,64,64,63,64,63,65,64,65,63,63,64,65,64,64,64,64,65,65,65,65,63,64,63.0,65,62,62.0,64,65,63,63,65,65,65,65,64,65,64,64,65,64,63,61,65,64,64,64,65,65,63,65,63,63,64,63,65,64,65,63,64,64,65,63,65,65,64,65,64,64,63,65,65,65,64,64,64,64,64,63,65,64,63,65,65,64,65,64,64,64,65,62,63,65,63,65,65,65,63,63,65,65,62,64,65,64,65
1,65.0,63,64,64.0,64,65.0,65,64,64,64,63,64,65,65,64,64,65,62,65,65,64,64,64,64,64,65,64,64,64,65,64,65,65,65,63,65,65,65.0,63,64,65.0,65,65,64,65,65,65,64,65,65,65,65,64,65,65,65,64,64,65,63,65,63,63,65,64,65,64,65,64,63,61,64,65,65,64,64,64,64,65,64,63,65,65,64,63,65,64,65,65,65,64,64,64,65,65,65,64,64,64,64,65,64,65,64,63,63,64,63,63,64,65,63,64,64,64,64,64,63,64,63
2,60.0,65,61,64.0,61,64.0,65,64,65,63,64,64,65,65,64,64,63,64,64,64,64,63,65,64,65,65,64,65,64,64,64,65,65,65,64,64,64,65.0,63,64,64.0,64,65,64,65,62,64,62,64,62,65,64,64,64,64,64,65,63,65,65,63,65,65,64,65,65,64,64,63,64,65,62,64,62,65,65,63,63,65,63,65,64,65,65,65,63,64,65,65,64,64,63,64,65,61,65,63,64,64,64,65,65,64,65,65,65,65,65,64,64,64,65,64,64,65,65,65,64,64,63
3,63.0,61,65,64.0,64,62.0,60,64,64,64,64,65,65,65,65,65,65,64,63,64,65,65,64,65,65,64,64,65,63,64,63,65,63,65,65,64,64,65.0,65,63,64.0,64,64,65,65,65,64,64,65,64,64,65,64,64,65,64,64,64,65,64,65,64,63,64,64,65,64,63,64,64,65,65,65,65,65,63,63,64,65,64,65,64,63,65,64,64,64,64,64,65,65,65,65,65,63,60,64,63,62,65,64,64,63,64,65,64,65,65,64,64,65,64,65,64,64,65,63,63,65,65
4,64.0,65,63,64.0,64,65.0,64,64,65,63,65,63,65,64,64,65,64,65,65,65,65,64,64,65,65,65,65,65,61,63,64,64,65,63,65,65,65,64.0,65,65,65.0,64,64,64,64,64,63,63,65,65,65,64,64,64,65,65,65,64,65,65,65,65,65,63,64,62,64,64,64,64,65,64,65,65,64,64,64,64,65,65,65,63,64,64,63,65,64,65,65,65,65,65,64,65,65,64,64,64,65,64,65,64,65,63,63,65,63,65,63,65,65,63,65,64,65,64,64,63,65,64
5,59.0,65,64,65.0,65,65.0,64,63,65,65,64,65,64,64,64,63,64,64,65,65,65,62,65,64,64,65,65,64,64,65,64,65,64,64,65,64,65,65.0,64,64,64.0,64,64,64,64,64,65,63,64,64,65,64,65,65,65,65,64,64,65,65,65,65,65,64,62,64,64,65,64,64,65,64,64,65,65,64,65,64,64,63,65,64,65,65,65,65,65,64,65,64,64,64,64,65,65,62,62,64,65,65,65,65,64,65,65,64,64,65,64,65,63,65,64,65,62,64,64,64,65,64
6,62.0,64,64,64.0,64,64.0,65,65,63,64,63,65,63,65,64,64,64,64,65,64,64,65,65,65,63,65,63,64,65,64,63,63,65,64,63,65,65,62.0,63,64,64.0,63,65,65,64,65,65,63,64,63,64,64,64,64,64,64,64,65,65,65,65,63,64,63,64,64,65,65,63,64,63,64,63,65,65,64,65,63,65,64,65,64,65,64,64,64,64,63,63,64,64,63,64,64,65,65,64,63,65,65,64,65,64,65,62,65,65,65,65,63,64,65,65,64,65,65,61,64,64,65
7,62.0,64,65,65.0,64,65.0,64,65,63,63,65,65,65,65,64,64,65,64,64,64,64,65,64,63,65,65,64,64,65,64,65,64,65,64,65,64,65,65.0,64,65,64.0,65,65,64,65,65,65,65,65,65,65,64,64,64,64,64,65,65,64,65,64,63,65,65,64,64,64,65,63,63,64,65,65,65,65,65,64,64,65,64,64,64,63,65,63,64,65,63,64,65,65,63,65,63,65,64,64,64,65,65,65,64,65,64,65,65,65,65,65,65,64,65,63,65,65,63,64,65,65,65
8,62.0,63,65,59.0,63,65.0,65,65,64,65,64,64,65,64,63,64,63,65,65,65,65,65,63,65,65,65,63,65,65,63,63,64,64,64,65,63,65,64.0,65,65,64.0,65,64,64,65,65,64,64,63,64,63,65,64,62,62,64,64,64,64,65,64,64,64,62,65,63,63,65,64,64,63,65,63,65,64,64,65,64,62,63,64,64,63,64,64,65,64,65,63,64,64,64,64,64,65,65,65,64,65,64,62,65,64,64,64,65,63,65,63,65,64,64,64,64,65,64,64,64,64,65
9,60.0,64,64,64.0,62,65.0,62,65,64,64,63,64,65,65,62,64,64,65,62,65,63,64,65,63,65,64,65,65,64,63,65,64,60,61,64,65,63,63.0,63,65,65.0,64,63,63,65,65,63,64,64,64,64,63,64,64,65,64,64,64,64,65,65,64,65,64,64,64,64,62,65,65,65,64,65,63,64,65,63,64,64,65,64,64,63,65,65,62,64,65,63,65,64,64,64,65,63,63,63,65,65,64,63,64,64,65,65,65,65,64,65,64,65,63,65,64,63,65,64,65,65,64
