,cp_27,cp_28,cp_29,cp_30,cp_31,cp_32,cp_33,cp_34,cp_35
0,64,65,64,65,65,65,64,64,63
1,65,63,65,65,65,65,63,65,65
2,64,64,65,63,64,65,64,64,64
3,65,65,65,62,64,62,64,64,65
4,64,64,65,65,65,64,64,64,65
5,64,64,64,65,65,63,64,65,65
6,62,64,65,65,64,64,64,62,64
7,65,64,64,64,64,64,63,64,63
8,64,65,65,65,64,65,65,64,64
9,65,65,64,63,64,65,65,64,64
10,65,61,63,64,65,65,64,64,63
11,64,65,64,63,64,65,65,63,65
12,64,65,64,64,63,63,65,64,64
13,65,63,65,65,65,63,63,64,65
14,65,65,64,65,64,64,64,64,64
15,63,64,63,64,63,63,65,64,64
16,65,65,64,62,65,65,63,65,63
17,65,65,64,61,62,64,65,64,63
18,65,65,62,64,63,65,64,64,62
19,65,65,64,65,64,65,64,65,62
20,63,64,65,63,64,64,65,63,65
21,65,65,64,65,63,62,65,64,64
22,64,64,63,63,64,62,64,65,63
23,64,64,63,65,63,64,64,63,65
24,64,65,65,65,64,62,65,64,64
25,63,63,64,65,65,65,65,65,63
26,63,65,64,65,64,65,65,64,63
27,64,65,64,64,64,63,65,65,64
28,65,64,65,65,65,62,63,65,64
29,65,64,65,64,63,63,63,64,63
