,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_11 cp_5,inv_12 cp_5,inv_13 cp_5,inv_14 cp_5,inv_15 cp_5,inv_16 cp_5,inv_17 cp_5,inv_18 cp_5,inv_19 cp_5,inv_20 cp_5,inv_21 cp_5,inv_22 cp_5,inv_23 cp_5,inv_24 cp_5,inv_25 cp_5,inv_26 cp_5,inv_27 cp_5,inv_28 cp_5,inv_29 cp_5,inv_30 cp_5,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_13 cp_6,inv_14 cp_6,inv_15 cp_6,inv_16 cp_6,inv_17 cp_6,inv_18 cp_6,inv_19 cp_6,inv_20 cp_6,inv_21 cp_6,inv_22 cp_6,inv_23 cp_6,inv_24 cp_6,inv_25 cp_6,inv_26 cp_6,inv_27 cp_6,inv_28 cp_6,inv_29 cp_6,inv_30 cp_6,inv_31 cp_6,inv_32 cp_6,inv_33 cp_6,inv_34 cp_6,inv_35 cp_6,inv_36 cp_6,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_13 cp_7,inv_14 cp_7,inv_15 cp_7,inv_16 cp_7,inv_17 cp_7,inv_18 cp_7,inv_19 cp_7,inv_20 cp_7,inv_21 cp_7,inv_22 cp_7,inv_23 cp_7,inv_24 cp_7,inv_25 cp_7,inv_26 cp_7,inv_27 cp_7,inv_28 cp_7,inv_29 cp_7,inv_30 cp_7,inv_31 cp_7,inv_32 cp_7,inv_33 cp_7,inv_34 cp_7,inv_35 cp_7,inv_36 cp_7,inv_37 cp_7,inv_38 cp_7,inv_39 cp_7,inv_40 cp_7,inv_41 cp_7,inv_42 cp_7,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8,inv_13 cp_8,inv_14 cp_8,inv_15 cp_8,inv_16 cp_8,inv_17 cp_8,inv_18 cp_8,inv_19 cp_8,inv_20 cp_8,inv_21 cp_8,inv_22 cp_8,inv_23 cp_8,inv_24 cp_8,inv_25 cp_8,inv_26 cp_8,inv_27 cp_8,inv_28 cp_8,inv_29 cp_8,inv_30 cp_8,inv_31 cp_8,inv_32 cp_8,inv_33 cp_8,inv_34 cp_8,inv_35 cp_8,inv_36 cp_8,inv_37 cp_8,inv_38 cp_8,inv_39 cp_8,inv_40 cp_8,inv_41 cp_8,inv_42 cp_8,inv_43 cp_8,inv_44 cp_8,inv_45 cp_8,inv_46 cp_8,inv_47 cp_8,inv_48 cp_8
0,34.0,36.0,40.0,45.0,45.0,37.0,46.0,48.0,48.0,50.0,48.0,45.0,49.0,46.0,52.0,50.0,48.0,49.0,48.0,51.0,57.0,51.0,50.0,51.0,45.0,43.0,45.0,41.0,50.0,57.0,57.0,54.0,51.0,56.0,60.0,60.0,53.0,60.0,54.0,57.0,59.0,61.0,54.0,57.0,51.0,60.0,60.0,64.0,64.0,64.0,65.0,65.0,65.0,53.0,63.0,48.0,50.0,52.0,55.0,59.0,54.0,59.0,57.0,60.0,62.0,57.0,57.0,62.0,65.0,65.0,64.0,65.0,63.0,63.0,65,65,64,65,65,65,64,64,65.0,65,65,64,65,64,65,61,62.0,63.0,54.0,59.0,59.0,63.0,62,62.0,64.0,65,64,64.0,65,65,65,64,61,64,65,65,65,63,64,64,65,63,64,64,64,64,64,64,64,65,65,64,65,65,65,64
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,59.0,,58.0,,,65.0,65.0,,,,65.0,54.0,54.0,63.0,57.0,57.0,62.0,63.0,,65.0,,,,,53.0,,59.0,,62.0,52.0,,,59.0,64.0,64.0,65.0,64.0,63.0,64.0,64,64,64,64,62,64,63,65,64.0,65,65,64,63,64,65,63,60.0,62.0,,63.0,63.0,63.0,65,64.0,63.0,64,63,65.0,65,64,64,65,65,65,62,65,65,64,65,64,65,64,62,65,65,65,64,65,63,65,63,64,65,63,65,65
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,51.0,56.0,,,,44.0,,,54.0,,,56.0,64.0,,64.0,,,,,,,60.0,,57.0,,,,63.0,62.0,65.0,65.0,65.0,64.0,64.0,65,64,65,65,64,65,65,64,65.0,64,64,63,63,65,64,64,60.0,60.0,,60.0,64.0,63.0,64,63.0,65.0,64,65,58.0,64,65,65,65,62,64,65,65,64,63,64,63,65,62,63,64,65,64,65,63,64,63,65,63,65,65,65,63
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,63.0,,,,,,,60.0,,,,,,65.0,58.0,63.0,64.0,65.0,64.0,65.0,64,64,61,64,65,64,64,65,65.0,65,65,65,64,62,64,65,51.0,56.0,,65.0,56.0,63.0,64,64.0,63.0,61,64,,65,64,64,63,65,65,64,65,65,64,63,65,65,65,65,65,63,64,65,64,65,64,63,63,64,64,64,65
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,65.0,,,,,,,58.0,,,,,,58.0,,65.0,64.0,63.0,63.0,64.0,62,64,64,65,65,62,62,65,64.0,64,65,64,65,64,65,65,,,,64.0,,59.0,64,65.0,65.0,64,62,,65,65,64,64,65,64,62,64,63,64,65,65,65,64,61,64,64,63,63,65,63,62,64,63,63,65,65,64
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,59.0,,,,,,,,,,,,,,,64.0,64.0,62.0,65.0,63.0,64,63,63,64,64,64,65,64,64.0,65,65,62,65,63,65,65,,,,62.0,,63.0,62,63.0,62.0,64,64,,65,65,65,65,65,64,65,64,64,65,64,65,64,63,65,64,63,63,65,65,65,65,63,65,63,64,65,64
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,63.0,65.0,64.0,64.0,65.0,65,64,64,64,63,64,65,65,63.0,63,64,65,64,65,64,63,,,,64.0,,58.0,61,60.0,64.0,65,64,,63,64,62,64,64,64,65,63,65,62,65,64,62,65,64,64,65,65,65,63,65,64,65,65,65,64,64,63
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,65.0,63.0,58.0,65.0,61.0,65,64,64,61,65,65,63,62,65.0,64,65,65,64,65,64,64,,,,63.0,,,64,64.0,63.0,65,64,,64,61,63,64,64,62,65,64,63,64,65,63,63,65,64,65,65,64,62,64,65,65,64,65,64,65,63,65
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,65.0,,63.0,62.0,65,60,64,64,63,65,65,63,63.0,64,65,65,63,65,65,65,,,,59.0,,,63,63.0,65.0,65,65,,65,63,63,64,65,64,64,63,63,65,63,64,65,64,61,65,65,64,62,65,65,64,63,64,64,62,65,65
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,,63.0,64.0,63,65,61,65,63,64,65,62,58.0,63,62,63,65,63,63,64,,,,60.0,,,63,60.0,62.0,65,65,,63,65,65,64,63,65,64,64,65,64,65,64,65,65,64,61,64,63,65,65,65,65,62,64,62,65,64,65
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,61.0,,64.0,65.0,64,64,65,64,65,65,65,65,,63,65,65,61,65,64,64,,,,56.0,,,63,63.0,63.0,65,63,,65,65,65,64,64,64,64,65,64,64,64,64,64,63,65,64,63,65,65,63,65,65,64,64,64,64,65,65
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,63.0,,62.0,65.0,63,65,65,65,64,64,65,65,,64,64,65,65,65,64,64,,,,,,,65,63.0,58.0,64,65,,64,64,64,63,64,63,65,64,64,63,65,65,64,64,65,64,63,65,64,65,64,63,65,65,65,62,63,64
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,53.0,,65.0,57.0,64,64,65,64,59,65,64,65,,64,64,65,64,65,65,65,,,,,,,65,62.0,,60,65,,64,64,64,64,62,62,65,64,65,64,65,65,63,64,64,65,64,62,63,64,65,65,65,63,65,63,63,65
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,65.0,,63,65,65,65,64,65,64,63,,65,65,64,65,64,64,64,,,,,,,64,60.0,,63,64,,63,64,65,65,63,63,64,65,63,63,64,64,64,65,63,64,64,64,65,64,64,63,62,65,65,65,65,65
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,65.0,,64,64,65,65,64,64,65,65,,63,65,65,64,64,64,65,,,,,,,62,60.0,,64,64,,65,64,61,65,65,65,65,65,63,64,64,64,63,65,64,63,63,65,63,65,65,65,62,65,64,65,65,63
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,64.0,,61,64,64,65,65,65,65,65,,64,63,64,63,65,65,65,,,,,,,63,64.0,,65,63,,63,65,62,64,64,62,65,61,62,63,64,64,65,64,65,64,64,65,63,64,64,64,65,64,64,65,63,65
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,63.0,,63,63,65,62,64,65,62,65,,65,65,65,64,62,64,65,,,,,,,60,65.0,,65,65,,64,64,64,63,65,64,64,65,64,63,63,63,64,63,65,64,65,65,63,65,64,65,65,65,65,64,64,64
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,56.0,,65,65,61,64,63,64,64,64,,65,65,65,62,65,65,65,,,,,,,62,64.0,,63,62,,62,65,64,65,65,65,63,64,65,64,64,65,61,64,65,62,65,65,64,63,64,64,65,64,63,64,65,64
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,64,64,63,65,64,64,64,65,,63,65,64,65,65,64,64,,,,,,,63,65.0,,64,65,,64,65,64,65,64,63,65,63,64,63,64,64,64,65,65,65,65,65,64,63,63,63,64,65,63,64,64,64
