,inv_2 cp_1,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_8 cp_2,inv_9 cp_2,inv_10 cp_2,inv_4 cp_3,inv_5 cp_3,inv_5 cp_4
0,25.0,31.0,35.0,37.0,50.0,55.0,55.0,65,65,65,65,65,65,65,65
1,,,,,,,,64,65,65,65,65,65,65,65
2,,,,,,,,65,65,65,65,65,65,65,65
3,,,,,,,,65,65,64,65,65,65,65,65
4,,,,,,,,60,64,65,65,65,65,65,65
5,,,,,,,,65,65,65,65,65,65,65,65
6,,,,,,,,64,65,65,65,65,65,65,65
7,,,,,,,,64,65,64,65,65,65,65,65
8,,,,,,,,62,65,65,65,65,65,65,65
9,,,,,,,,65,65,65,65,65,65,65,65
10,,,,,,,,63,65,65,65,65,65,65,65
11,,,,,,,,62,65,61,65,65,63,65,65
12,,,,,,,,63,65,65,65,65,65,65,65
13,,,,,,,,64,65,65,65,65,65,65,65
14,,,,,,,,64,65,65,65,65,65,65,65
15,,,,,,,,65,65,65,65,65,65,65,65
16,,,,,,,,65,65,63,65,65,65,65,65
17,,,,,,,,65,63,65,65,65,62,65,65
18,,,,,,,,64,65,65,65,65,65,65,65
19,,,,,,,,59,65,65,65,65,65,65,65
20,,,,,,,,59,65,65,65,65,65,65,65
21,,,,,,,,65,65,65,65,65,65,65,65
22,,,,,,,,65,65,65,65,65,65,65,65
23,,,,,,,,62,65,65,65,65,65,65,65
24,,,,,,,,65,63,65,65,65,65,65,65
25,,,,,,,,65,65,65,65,65,65,65,65
26,,,,,,,,65,64,65,65,65,64,65,65
27,,,,,,,,65,65,65,64,65,65,65,65
28,,,,,,,,63,65,65,65,65,65,65,65
29,,,,,,,,65,65,65,65,65,65,65,65
