,inv_1 cp_1,inv_2 cp_1,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_6 cp_1,inv_7 cp_1,inv_8 cp_1,inv_9 cp_1,inv_10 cp_1,inv_11 cp_1,inv_12 cp_1,inv_13 cp_1,inv_14 cp_1,inv_15 cp_1,inv_16 cp_1,inv_17 cp_1,inv_18 cp_1,inv_19 cp_1,inv_20 cp_1,inv_21 cp_1,inv_22 cp_1,inv_23 cp_1,inv_24 cp_1,inv_25 cp_1,inv_2 cp_2,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_8 cp_2,inv_9 cp_2,inv_10 cp_2,inv_11 cp_2,inv_12 cp_2,inv_13 cp_2,inv_14 cp_2,inv_15 cp_2,inv_16 cp_2,inv_17 cp_2,inv_18 cp_2,inv_19 cp_2,inv_20 cp_2,inv_21 cp_2,inv_22 cp_2,inv_23 cp_2,inv_24 cp_2,inv_25 cp_2,inv_3 cp_3,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_7 cp_3,inv_8 cp_3,inv_9 cp_3,inv_10 cp_3,inv_11 cp_3,inv_12 cp_3,inv_13 cp_3,inv_14 cp_3,inv_15 cp_3,inv_16 cp_3,inv_17 cp_3,inv_18 cp_3,inv_19 cp_3,inv_20 cp_3,inv_21 cp_3,inv_22 cp_3,inv_23 cp_3,inv_24 cp_3,inv_25 cp_3,inv_4 cp_4,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_9 cp_4,inv_10 cp_4,inv_11 cp_4,inv_12 cp_4,inv_13 cp_4,inv_14 cp_4,inv_15 cp_4,inv_16 cp_4,inv_17 cp_4,inv_18 cp_4,inv_19 cp_4,inv_20 cp_4,inv_21 cp_4,inv_22 cp_4,inv_23 cp_4,inv_24 cp_4,inv_25 cp_4,inv_5 cp_5,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_11 cp_5,inv_12 cp_5,inv_13 cp_5,inv_14 cp_5,inv_15 cp_5,inv_16 cp_5,inv_17 cp_5,inv_18 cp_5,inv_19 cp_5,inv_20 cp_5,inv_21 cp_5,inv_22 cp_5,inv_23 cp_5,inv_24 cp_5,inv_25 cp_5,inv_6 cp_6,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_13 cp_6,inv_14 cp_6,inv_15 cp_6,inv_16 cp_6,inv_17 cp_6,inv_18 cp_6,inv_19 cp_6,inv_20 cp_6,inv_21 cp_6,inv_22 cp_6,inv_23 cp_6,inv_24 cp_6,inv_25 cp_6,inv_7 cp_7,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_13 cp_7,inv_14 cp_7,inv_15 cp_7,inv_16 cp_7,inv_17 cp_7,inv_18 cp_7,inv_19 cp_7,inv_20 cp_7,inv_21 cp_7,inv_22 cp_7,inv_23 cp_7,inv_24 cp_7,inv_25 cp_7,inv_8 cp_8,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8,inv_13 cp_8,inv_14 cp_8,inv_15 cp_8,inv_16 cp_8,inv_17 cp_8,inv_18 cp_8,inv_19 cp_8,inv_20 cp_8,inv_21 cp_8,inv_22 cp_8,inv_23 cp_8,inv_24 cp_8,inv_25 cp_8,inv_9 cp_9,inv_10 cp_9,inv_11 cp_9,inv_12 cp_9,inv_13 cp_9,inv_14 cp_9,inv_15 cp_9,inv_16 cp_9,inv_17 cp_9,inv_18 cp_9,inv_19 cp_9,inv_20 cp_9,inv_21 cp_9,inv_22 cp_9,inv_23 cp_9,inv_24 cp_9,inv_25 cp_9,inv_10 cp_10,inv_11 cp_10,inv_12 cp_10,inv_13 cp_10,inv_14 cp_10,inv_15 cp_10,inv_16 cp_10,inv_17 cp_10,inv_18 cp_10,inv_19 cp_10,inv_20 cp_10,inv_21 cp_10,inv_22 cp_10,inv_23 cp_10,inv_24 cp_10,inv_25 cp_10
0,4.0,7.0,8.0,12.0,10.0,14.0,11.0,17.0,16.0,13.0,16.0,12.0,17.0,16.0,12.0,12.0,10.0,12.0,15.0,14.0,9.0,10.0,11.0,15.0,9.0,10.0,14.0,16.0,20.0,20.0,19.0,24.0,21.0,23.0,22.0,20.0,22.0,26.0,22.0,23.0,21.0,20.0,16.0,23.0,20.0,19.0,15.0,22.0,24.0,20.0,19.0,22.0,28.0,26.0,30.0,26.0,31.0,31.0,30.0,33.0,33.0,34.0,31.0,31.0,27.0,29.0,31.0,30.0,35.0,35.0,41.0,33.0,24.0,28.0,35.0,34.0,31.0,40.0,36.0,32.0,34.0,38.0,34.0,46.0,45.0,43.0,41.0,34.0,41.0,39.0,50.0,42.0,45.0,35.0,31.0,39.0,40.0,38.0,32.0,43.0,44.0,45.0,40.0,51.0,46.0,48.0,46.0,46.0,52.0,51.0,42.0,52.0,55.0,45.0,48.0,38.0,41.0,39.0,47.0,48.0,50.0,49.0,52.0,50.0,46.0,52.0,55.0,57.0,55,57.0,55,58.0,53.0,62,53.0,48.0,53.0,52.0,52.0,53.0,54.0,59,58,65,64,61,57,61,65,64,58,65,62,65,55.0,57.0,58,57,61,60,62,62,63,65,64,65,64,65,65,65,62,65,63,60,64,64,65,58,65,65,63,65,64,65,64,63,65,65,65,62,64,65,64,65,64,63,64,65,65,63,65,65,65,65,64
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,50.0,,,,,53.0,51.0,,50.0,46.0,,,,,,,,52.0,,50.0,55.0,,58.0,55.0,50.0,51,60.0,55,54.0,53.0,58,53.0,,55.0,51.0,56.0,53.0,58.0,61,56,60,57,54,60,51,64,64,63,65,64,62,54.0,57.0,59,65,58,62,64,64,65,65,64,65,64,64,63,65,65,64,62,65,63,63,65,63,64,64,65,64,63,65,65,64,64,64,65,65,65,64,62,63,65,63,65,65,64,65,63,64,65,65,63
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,51.0,46.0,,47.0,,,,,,,,,51.0,,52.0,47.0,,56.0,62.0,53.0,58,62.0,58,50.0,58.0,60,64.0,,50.0,51.0,59.0,58.0,54.0,64,62,61,62,59,63,52,65,65,65,65,64,64,54.0,52.0,62,57,61,62,64,65,64,65,60,62,64,65,65,64,65,65,58,64,62,64,65,64,65,62,65,65,62,65,65,64,65,65,64,65,61,64,64,61,65,64,65,64,64,65,64,64,64,65,58
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,50.0,,,,,,,,,,,,55.0,,59.0,,,58.0,61.0,48.0,56,64.0,58,61.0,59.0,55,50.0,,52.0,51.0,52.0,58.0,58.0,59,59,64,56,65,59,59,57,64,65,65,64,64,58.0,52.0,59,54,64,63,65,64,64,64,64,65,65,58,64,65,64,64,63,65,56,60,65,64,65,65,64,65,65,64,65,65,65,65,63,63,64,65,64,64,65,63,63,65,65,63,64,64,62,65,63
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,49.0,,52.0,,,55.0,55.0,,62,62.0,60,62.0,59.0,56,64.0,,58.0,57.0,51.0,57.0,59.0,55,58,57,63,55,61,62,60,64,64,65,65,64,59.0,58.0,60,59,60,62,60,64,62,62,63,64,63,64,62,64,64,64,60,59,65,63,64,61,64,62,65,65,65,64,64,65,64,63,64,64,63,65,64,65,64,65,63,65,64,64,64,63,64,64,65
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,56.0,48.0,,59,64.0,53,63.0,61.0,59,59.0,,47.0,52.0,50.0,52.0,56.0,58,58,64,60,55,65,59,61,65,64,65,63,57,53.0,53.0,59,61,58,61,62,63,65,64,64,63,64,65,64,64,64,64,62,62,63,65,64,65,64,65,64,65,65,65,65,64,64,63,64,64,64,65,63,64,64,64,63,63,64,63,64,64,63,64,65
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,58,62.0,53,64.0,65.0,62,55.0,,,56.0,52.0,58.0,50.0,60,56,60,62,58,62,61,60,65,64,59,65,64,54.0,57.0,59,64,61,60,63,64,65,63,63,64,65,63,64,63,65,63,64,60,58,64,62,64,64,64,64,65,63,65,64,64,63,63,65,65,65,65,57,63,63,64,65,65,64,64,65,65,64,62,64
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,58,57.0,56,54.0,57.0,53,65.0,,,57.0,53.0,56.0,61.0,51,55,58,59,60,65,65,65,65,61,62,61,59,53.0,56.0,57,64,60,60,61,61,63,65,64,64,65,65,64,64,63,65,62,59,65,64,65,64,65,64,65,64,65,64,64,64,64,64,65,63,62,63,65,64,64,65,65,65,65,65,64,64,63,63,62
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,55,55.0,59,56.0,64.0,64,56.0,,,56.0,54.0,57.0,57.0,61,65,58,61,63,63,64,64,56,62,61,64,65,49.0,54.0,56,59,60,63,64,65,63,65,58,65,65,64,63,64,63,65,63,59,64,62,65,64,65,65,65,61,63,65,64,65,65,65,64,61,60,64,64,64,65,64,63,64,64,65,64,62,65,65,64
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,53,55.0,54,60.0,56.0,51,51.0,,,50.0,56.0,57.0,58.0,59,62,63,53,62,64,63,61,63,63,64,63,65,,55.0,57,62,62,63,64,62,63,58,65,63,64,63,65,64,65,63,65,63,65,61,65,63,64,64,62,63,63,63,63,65,65,65,65,64,64,65,65,64,62,65,64,64,64,63,65,65,65,64,65
