,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_9 cp_4,inv_10 cp_4,inv_11 cp_4,inv_12 cp_4,inv_13 cp_4,inv_14 cp_4,inv_15 cp_4,inv_16 cp_4,inv_17 cp_4,inv_18 cp_4,inv_19 cp_4,inv_20 cp_4,inv_21 cp_4,inv_22 cp_4,inv_23 cp_4,inv_24 cp_4,inv_25 cp_4,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_11 cp_5,inv_12 cp_5,inv_13 cp_5,inv_14 cp_5,inv_15 cp_5,inv_16 cp_5,inv_17 cp_5,inv_18 cp_5,inv_19 cp_5,inv_20 cp_5,inv_21 cp_5,inv_22 cp_5,inv_23 cp_5,inv_24 cp_5,inv_25 cp_5,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_13 cp_6,inv_14 cp_6,inv_15 cp_6,inv_16 cp_6,inv_17 cp_6,inv_18 cp_6,inv_19 cp_6,inv_20 cp_6,inv_21 cp_6,inv_22 cp_6,inv_23 cp_6,inv_24 cp_6,inv_25 cp_6,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_13 cp_7,inv_14 cp_7,inv_15 cp_7,inv_16 cp_7,inv_17 cp_7,inv_18 cp_7,inv_19 cp_7,inv_20 cp_7,inv_21 cp_7,inv_22 cp_7,inv_23 cp_7,inv_24 cp_7,inv_25 cp_7,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8,inv_13 cp_8,inv_14 cp_8,inv_15 cp_8,inv_16 cp_8,inv_17 cp_8,inv_18 cp_8,inv_19 cp_8,inv_20 cp_8,inv_21 cp_8,inv_22 cp_8,inv_23 cp_8,inv_24 cp_8,inv_25 cp_8,inv_10 cp_9,inv_11 cp_9,inv_12 cp_9,inv_13 cp_9,inv_14 cp_9,inv_15 cp_9,inv_16 cp_9,inv_17 cp_9,inv_18 cp_9,inv_19 cp_9,inv_20 cp_9,inv_21 cp_9,inv_22 cp_9,inv_23 cp_9,inv_24 cp_9,inv_25 cp_9,inv_11 cp_10,inv_12 cp_10,inv_13 cp_10,inv_14 cp_10,inv_15 cp_10,inv_16 cp_10,inv_17 cp_10,inv_18 cp_10,inv_19 cp_10,inv_20 cp_10,inv_21 cp_10,inv_22 cp_10,inv_23 cp_10,inv_24 cp_10,inv_25 cp_10
0,29.0,36.0,33.0,37.0,37.0,35.0,37.0,36.0,39.0,41.0,39.0,47.0,42.0,40.0,43.0,39.0,42.0,38.0,48.0,32.0,40.0,39.0,34.0,35.0,41.0,48.0,41.0,41.0,42.0,53.0,45.0,51.0,50.0,53.0,47.0,49.0,50.0,52.0,50.0,50.0,55.0,47.0,45.0,44.0,47.0,49.0,46.0,56.0,51.0,53.0,54.0,54.0,60.0,55.0,53.0,64.0,52.0,65.0,61.0,59.0,54.0,55.0,49.0,54.0,59.0,59.0,61.0,64.0,61.0,60.0,57.0,64.0,61.0,65.0,64.0,62,65,64,53.0,56.0,62.0,62.0,60.0,62.0,65.0,61.0,63.0,65.0,59.0,65,65,61,64,65,65,60.0,64.0,61,65.0,65,63,64,65,64,65,65,63,64,64,64,63,64,64.0,64,65,64,63,64,65,63,65,64,63,64,65,65
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,57.0,,54.0,55.0,55.0,,,,,57.0,54.0,58.0,58.0,53.0,63.0,,65.0,64.0,64.0,64.0,64,64,63,,,59.0,63.0,62.0,64.0,63.0,65.0,65.0,64.0,64.0,65,63,65,65,64,65,62.0,64.0,62,64.0,65,64,64,63,63,63,64,65,64,65,64,64,64,62.0,64,65,64,64,64,62,63,65,64,65,64,65,65
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,59.0,65.0,64.0,65.0,64,64,64,,,63.0,64.0,59.0,64.0,60.0,59.0,63.0,64.0,65.0,65,65,64,65,65,65,60.0,58.0,65,58.0,63,65,65,64,64,61,63,64,65,64,62,65,61,64.0,63,64,65,65,64,62,65,63,65,64,62,64,61
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,64.0,65.0,64.0,64.0,62,63,65,,,64.0,58.0,61.0,62.0,62.0,64.0,63.0,64.0,65.0,64,61,65,64,64,63,61.0,,61,,65,64,61,65,64,65,65,65,65,63,64,62,64,63.0,63,64,65,64,64,64,64,65,63,65,64,64,64
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,62.0,64.0,57.0,64.0,64,64,64,,,59.0,,59.0,65.0,63.0,65.0,65.0,65.0,64.0,65,63,62,65,65,63,64.0,,63,,59,64,64,63,64,63,64,65,65,65,65,64,64,64.0,64,64,63,65,65,63,63,65,65,64,64,63,65
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,64.0,65.0,,64.0,64,65,64,,,60.0,,64.0,63.0,59.0,62.0,65.0,56.0,65.0,63,65,64,65,61,64,62.0,,65,,62,65,64,64,65,60,64,62,64,65,65,65,64,65.0,64,65,64,64,65,65,65,64,64,64,64,65,64
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,62.0,,64.0,61,65,64,,,58.0,,57.0,64.0,56.0,65.0,65.0,,64.0,63,62,63,62,63,65,62.0,,64,,65,64,63,64,65,65,64,65,63,64,64,63,65,65.0,65,64,65,65,64,64,65,65,64,65,64,65,65
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,,64.0,62,62,64,,,,,,63.0,,65.0,60.0,,63.0,63,64,64,65,63,64,65.0,,64,,63,64,65,64,63,65,64,64,65,65,65,65,65,65.0,64,64,64,64,64,64,65,65,64,63,65,65,60
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,57.0,,65.0,64,64,64,,,,,,59.0,,65.0,64.0,,65.0,65,64,64,63,65,64,64.0,,63,,64,64,65,65,64,65,65,65,64,65,62,63,63,63.0,60,65,64,64,63,65,64,63,65,65,65,64,64
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,62,65,64,,,,,,64.0,,62.0,65.0,,65.0,65,64,65,64,65,64,63.0,,65,,64,65,64,62,65,63,65,64,64,65,63,65,61,64.0,65,64,64,64,63,62,62,65,65,64,64,65,65
