,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_6 cp_1,inv_7 cp_1,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_4 cp_3,inv_5 cp_3
0,37.0,33.0,41.0,45.0,41.0,49.0,61.0,61.0,63,64.0,64,65
1,,,,,,,60.0,61.0,62,65.0,64,65
2,,,,,,,57.0,63.0,63,65.0,65,65
3,,,,,,,,60.0,61,65.0,65,65
4,,,,,,,,65.0,65,65.0,65,65
5,,,,,,,,64.0,62,65.0,65,65
6,,,,,,,,62.0,61,65.0,65,65
7,,,,,,,,63.0,63,65.0,65,65
8,,,,,,,,61.0,64,65.0,65,65
9,,,,,,,,63.0,63,65.0,63,65
10,,,,,,,,59.0,65,65.0,65,65
11,,,,,,,,62.0,65,56.0,62,65
12,,,,,,,,59.0,60,,64,65
13,,,,,,,,58.0,65,,64,65
14,,,,,,,,,65,,65,65
15,,,,,,,,,65,,64,65
16,,,,,,,,,63,,65,65
17,,,,,,,,,62,,65,65
18,,,,,,,,,65,,64,65
19,,,,,,,,,64,,65,65
20,,,,,,,,,65,,65,65
21,,,,,,,,,64,,65,65
22,,,,,,,,,65,,65,65
23,,,,,,,,,62,,63,65
24,,,,,,,,,65,,65,65
25,,,,,,,,,65,,65,65
26,,,,,,,,,61,,64,65
27,,,,,,,,,65,,65,65
28,,,,,,,,,63,,65,65
29,,,,,,,,,62,,65,65
