,inv_1 cp_1,inv_2 cp_1,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_6 cp_1,inv_7 cp_1,inv_8 cp_1,inv_9 cp_1,inv_10 cp_1,inv_11 cp_1,inv_12 cp_1,inv_2 cp_2,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_8 cp_2,inv_9 cp_2,inv_10 cp_2,inv_11 cp_2,inv_12 cp_2,inv_3 cp_3,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_7 cp_3,inv_8 cp_3,inv_9 cp_3,inv_10 cp_3,inv_11 cp_3,inv_12 cp_3,inv_4 cp_4,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_9 cp_4,inv_10 cp_4,inv_11 cp_4,inv_12 cp_4,inv_5 cp_5,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_11 cp_5,inv_12 cp_5,inv_6 cp_6,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_7 cp_7,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_8 cp_8,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8
0,11.0,13.0,21.0,22.0,24.0,27.0,25.0,30.0,26.0,23.0,25.0,23.0,23.0,30.0,33.0,34.0,41.0,42.0,47.0,43.0,46.0,46.0,48.0,39.0,46.0,46.0,53.0,58.0,58,59,62,59,60,56,59,59,64,65,65,65,65,65,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
1,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,54.0,59,58,64,60,64,56,56,62,64,64,65,65,65,65,65,65,63,65,65,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
2,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,58.0,58,61,61,58,61,51,58,56,64,57,64,65,65,65,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
3,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,54.0,55,56,57,62,64,55,59,64,64,65,65,65,65,63,62,64,65,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,58,57,65,60,65,59,56,62,65,63,64,65,65,65,63,64,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,54,58,58,59,61,52,56,63,64,61,63,63,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,57,60,59,61,64,54,55,60,62,65,62,61,65,65,62,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,56,59,61,62,62,57,58,61,62,63,65,65,65,63,61,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,57,57,62,59,65,53,55,60,59,65,63,65,65,65,63,64,65,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,57,60,60,58,61,50,59,59,62,62,65,65,65,65,61,63,65,65,65,65,65,65,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,59,58,63,60,61,56,58,62,64,65,65,65,65,65,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,52,60,59,59,65,55,54,61,63,63,64,65,65,65,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,58,61,57,64,63,56,57,62,62,63,64,65,65,65,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,56,56,61,63,60,58,60,59,63,64,63,64,65,65,61,65,65,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,55,62,58,63,64,54,59,56,63,63,65,64,65,65,64,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,60,61,58,60,64,53,55,59,61,65,65,65,65,65,64,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,57,59,59,60,62,57,57,61,64,59,65,65,65,64,63,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,54,61,58,65,64,52,63,65,61,64,65,64,65,65,64,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,59,62,62,59,62,58,61,58,64,63,65,65,65,65,62,64,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,57,59,63,59,63,54,60,60,63,64,64,65,65,65,61,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60,57,64,64,64,54,60,62,61,64,62,62,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,58,64,60,64,61,56,61,62,63,65,65,64,65,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,56,61,65,65,63,58,58,63,64,65,65,65,65,65,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,58,56,59,63,62,55,58,61,61,64,65,65,65,65,65,65,65,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,57,61,61,61,64,53,56,60,62,64,65,65,65,65,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,57,57,62,62,59,57,59,62,64,63,65,65,62,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,61,60,58,65,63,56,56,54,62,65,62,64,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,59,59,64,64,54,61,62,62,62,65,65,65,65,62,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,60,61,61,62,58,63,62,63,65,63,65,65,64,64,63,62,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,57,64,60,57,55,57,55,64,63,65,65,65,65,62,59,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
