,inv_2 cp_1,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_6 cp_1,inv_7 cp_1,inv_8 cp_1,inv_9 cp_1,inv_10 cp_1,inv_11 cp_1,inv_12 cp_1,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_8 cp_2,inv_9 cp_2,inv_10 cp_2,inv_11 cp_2,inv_12 cp_2,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_7 cp_3,inv_8 cp_3,inv_9 cp_3,inv_10 cp_3,inv_11 cp_3,inv_12 cp_3,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_9 cp_4,inv_10 cp_4,inv_11 cp_4,inv_12 cp_4,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_11 cp_5
0,15.0,13.0,23.0,24.0,26.0,25.0,18.0,23.0,26.0,27.0,17.0,30.0,34.0,35.0,42.0,38.0,39.0,46.0,50.0,49.0,46.0,47.0,46.0,53.0,51.0,57.0,60.0,60.0,58.0,64.0,61.0,60.0,65.0,64,64,63,65,65,65,63,65,65,65,65
1,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,60.0,,64.0,56.0,60.0,64.0,65,63,65,64,64,65,65,65,65,65,65
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,65.0,,63.0,64.0,61,64,62,65,65,61,65,65,65,65,65
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,60.0,65.0,63,64,64,65,65,64,65,65,65,65,65
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,61.0,65.0,65,65,65,65,65,61,65,64,65,65,65
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,59.0,60.0,65,61,65,65,64,65,65,65,65,65,65
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,61.0,63.0,65,64,64,62,65,65,65,65,65,65,65
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,62.0,63.0,61,64,64,65,65,65,65,65,65,65,65
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,61.0,63.0,62,65,65,65,65,65,65,65,65,65,65
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,62.0,60.0,63,65,65,65,65,62,65,65,65,65,65
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,61.0,64.0,64,65,65,64,65,64,62,65,65,65,65
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,59.0,65.0,65,62,65,65,65,64,64,65,65,65,65
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,62.0,62.0,64,65,64,65,65,65,65,60,64,65,65
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,61.0,62.0,65,64,64,64,65,65,65,64,65,65,65
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,65.0,64.0,62,65,65,65,65,65,65,65,65,65,65
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,62.0,62.0,65,62,62,65,65,65,62,65,65,65,65
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,63.0,64.0,65,64,65,65,65,64,65,64,65,65,65
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,64.0,63.0,64,64,65,65,65,65,64,65,65,65,65
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,63.0,62,64,64,64,65,64,65,65,65,64,65
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,62.0,64,65,65,65,62,65,65,65,65,65,65
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,63.0,65,63,65,65,65,63,65,65,65,65,65
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,62.0,65,65,65,64,65,64,64,64,65,65,65
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,63,65,65,65,65,64,65,65,65,65,65
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,63,63,65,65,65,65,65,65,65,65,65
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,63,65,64,65,65,64,65,65,65,65,65
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,63,64,65,65,65,65,64,65,65,65,65
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63,65,65,65,64,65,64,65,65,65
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,63,65,65,65,65,65,64,65,65,65
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,65,65,65,64,65,63,65,65,65
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,65,65,65,64,65,64,65,65,65
